id,label,freq,threshold,tp,fn,fp,precision,recall,f2
0,agriculture,0.31,0.0,1271,0,2777,0.31398221343873517,1.0,0.47790938146268097
0,agriculture,0.31,0.009999999776482582,1270,1,2548,0.3326348873755893,0.999213217938631,0.49911573983100804
0,agriculture,0.31,0.019999999552965164,1267,4,1672,0.43109901326981964,0.996852871754524,0.6019002375296912
0,agriculture,0.31,0.029999999329447746,1264,7,1271,0.4986193293885602,0.994492525570417,0.6642143983184445
0,agriculture,0.31,0.03999999910593033,1261,10,1109,0.5320675105485232,0.99213217938631,0.6926668497665477
0,agriculture,0.31,0.05000000074505806,1259,12,1000,0.5573262505533422,0.990558615263572,0.713314447592068
0,agriculture,0.31,0.05999999865889549,1255,16,908,0.5802126675913084,0.987411487018096,0.7309260337798485
0,agriculture,0.31,0.07000000029802322,1248,23,857,0.5928741092636579,0.981904012588513,0.7393364928909952
0,agriculture,0.31,0.07999999821186066,1247,24,818,0.6038740920096852,0.981117230527144,0.7476019184652278
0,agriculture,0.31,0.09000000357627869,1245,26,771,0.6175595238095238,0.9795436664044059,0.7575296623060541
0,agriculture,0.31,0.10000000149011612,1243,28,734,0.6287303995953465,0.977970102281668,0.7653940886699507
0,agriculture,0.31,0.10999999940395355,1242,29,701,0.6392177045805455,0.977183320220299,0.7728686994399502
0,agriculture,0.31,0.11999999731779099,1240,31,671,0.6488749345892203,0.975609756097561,0.7793840351979887
0,agriculture,0.31,0.12999999523162842,1239,32,654,0.6545166402535658,0.974822974036192,0.7831858407079646
0,agriculture,0.31,0.14000000059604645,1236,35,631,0.6620246384574183,0.9724626278520849,0.7877629063097514
0,agriculture,0.31,0.15000000596046448,1235,36,616,0.6672069151809833,0.971675845790716,0.7911595131326074
0,agriculture,0.31,0.1599999964237213,1234,37,599,0.6732133115111838,0.970889063729347,0.7951030927835051
0,agriculture,0.31,0.17000000178813934,1231,40,579,0.6801104972375691,0.96852871754524,0.7990912041544953
0,agriculture,0.31,0.18000000715255737,1226,45,559,0.6868347338935574,0.964594807238395,0.8023560209424084
0,agriculture,0.31,0.1899999976158142,1224,47,542,0.6930917327293318,0.963021243115657,0.8060586104708594
0,agriculture,0.31,0.20000000298023224,1223,48,531,0.6972633979475484,0.962234461054288,0.8085950413223141
0,agriculture,0.31,0.20999999344348907,1220,51,523,0.699942627653471,0.9598741148701809,0.809555408095554
0,agriculture,0.31,0.2199999988079071,1216,55,511,0.704111175448755,0.956726986624705,0.8112074716477652
0,agriculture,0.31,0.23000000417232513,1216,55,501,0.7082119976703553,0.956726986624705,0.8139223560910308
0,agriculture,0.31,0.23999999463558197,1215,56,489,0.7130281690140845,0.955940204563336,0.8168067226890756
0,agriculture,0.31,0.25,1214,57,481,0.7162241887905605,0.955153422501967,0.8186109238031019
0,agriculture,0.31,0.25999999046325684,1213,58,467,0.7220238095238095,0.9543666404405979,0.8220942053541173
0,agriculture,0.31,0.27000001072883606,1212,59,454,0.7274909963985594,0.953579858379229,0.8253319713993871
0,agriculture,0.31,0.2800000011920929,1210,61,447,0.7302353651176826,0.952006294256491,0.8265027322404371
0,agriculture,0.31,0.28999999165534973,1208,63,439,0.7334547662416515,0.950432730133753,0.8279643591501028
0,agriculture,0.31,0.30000001192092896,1206,65,434,0.7353658536585366,0.9488591660110149,0.8285812435589145
0,agriculture,0.31,0.3100000023841858,1204,67,429,0.7372933251684017,0.9472856018882769,0.8292011019283747
0,agriculture,0.31,0.3199999928474426,1203,68,417,0.7425925925925926,0.946498819826908,0.8322379799377378
